planID,studentID,courseID,attemptNum,failureType,status,recoveryGrade,createdDate,lastUpdated,recommendation
RP0001,S001,ME103,2,Exam Only,COMPLETED-PASSED,75.0,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Fiona Smith is advised to focus on exam preparation for ME103 through extra past-year practice  revision classes  and better time management during the exam. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0002,S004,ME107,1,Assignment Only,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Evia Cheng is advised to focus on improving assignment performance for ME107 by attending consultation  revising feedback  and submitting higher quality written work. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0003,S006,HM102,3,Assignment Only,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Quinn Chen is advised to focus on improving assignment performance for HM102 by attending consultation  revising feedback  and submitting higher quality written work. Since this is attempt 3  a full course retake is recommended with close monitoring of progress.
RP0004,S007,ME202,1,Both Components,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Oscar Smith is advised to focus on both coursework and examination for ME202. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0005,S007,ME203,1,Both Components,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Oscar Smith is advised to focus on both coursework and examination for ME203. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0006,S007,ME204,1,Both Components,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Oscar Smith is advised to focus on both coursework and examination for ME204. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0007,S007,ME205,1,Both Components,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Oscar Smith is advised to focus on both coursework and examination for ME205. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage.
RP0008,S010,ME206,1,Both Components,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Charlie Miller is advised to focus on both coursework and examination for ME206. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage. The student is currently at academic risk (CGPA below 2.00)  therefore additional follow-up sessions and mentoring are strongly encouraged.
RP0009,S010,ME207,1,Both Components,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Charlie Miller is advised to focus on both coursework and examination for ME207. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage. The student is currently at academic risk (CGPA below 2.00)  therefore additional follow-up sessions and mentoring are strongly encouraged.
RP0010,S010,ME208,1,Both Components,IN_PROGRESS,,2025-12-02 15:48:47,2025-12-02 18:11:37,Student Charlie Miller is advised to focus on both coursework and examination for ME208. The student should strengthen understanding of core topics  seek lecturer guidance  and plan weekly study tasks to close the gap. This is attempt 1  so targeted recovery on the failed component(s) is sufficient at this stage. The student is currently at academic risk (CGPA below 2.00)  therefore additional follow-up sessions and mentoring are strongly encouraged.
